"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\components\Chart\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\components\DeviceCard\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -87, 0, 0, 0, 0, -9, -96
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\components\GlobalStyles\GlobalStyles.css", "PostCSS", 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, -8, -43
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\components\GlobalStyles\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -3, -12
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\components\Popper\Item.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, -7, -29
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\components\Popper\Wrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, -3, -11
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\components\ProgressBar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, -3, -14
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\components\Status\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, -7, -32
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\components\SvgComponents\BgBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, -3, -31
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\components\Tabs\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, -8, -45
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\config\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, -2, -7
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\config\routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, -1, -9
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\layout\DefaultLayout\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, -4, -22
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\layout\components\Header\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -39, 0, 0, 0, 0, -3, -42
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\layout\components\Navbar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, -3, -34
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, -2, -13
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\DeviceDetail\ControlFeatures\Firewall.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -89, 0, 0, 0, 0, -11, -100
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\DeviceDetail\ControlFeatures\GetProcesses.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -181, 0, 0, 0, -1, -17, -199
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\DeviceDetail\ControlFeatures\Restart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, -5, -35
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\DeviceDetail\ControlFeatures\Shutdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, -5, -35
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\DeviceDetail\ControlTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -102, 0, 0, 0, 0, -7, -109
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\DeviceDetail\PerformanceTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -109, 0, 0, 0, 0, -9, -118
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\DeviceDetail\UsageLogsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -74, 0, 0, 0, 0, -7, -81
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\DeviceDetail\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -78, 0, 0, 0, 0, -6, -84
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\Devices\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -42, 0, 0, 0, -4, -8, -54
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\Home\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -10, 0, 0, 0, -15, -3, -28
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\pages\Login\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -109, 0, 0, 0, 0, -10, -119
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\routes\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, -3, -35
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\services\PrivateRoute\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -10, 0, 0, 0, -1, -4, -15
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\services\hooks\useFetch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, -6, -38
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\services\hooks\useSocket.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, -9, -35
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\types\devicedata.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, -2, -19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\tailwind.config.js", "JavaScript", 0, 0, 0, 0, -7, 0, 0, 0, 0, -2, -1, -10
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\tsconfig.app.json", "JSON", 0, 0, -22, 0, 0, 0, 0, 0, 0, -2, -3, -27
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\tsconfig.json", "JSON with Comments", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\tsconfig.node.json", "JSON", 0, 0, -20, 0, 0, 0, 0, 0, 0, -2, -3, -25
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\client\vite.config.ts", "TypeScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, -1, -2, -9
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\.prettierrc", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\README.md", "Markdown", 0, 0, 0, 68, 0, 0, 0, 0, 0, 2, 29, 99
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 1, 34
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\nest-cli.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\package-lock.json", "JSON", 0, 0, 13129, 0, 0, 0, 0, 0, 0, 0, 1, 13130
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\package.json", "JSON", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 1, 88
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\app.controller.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\app.module.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\auth.controller.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\auth.controller.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\auth.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\auth.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\auth.service.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 7, 33
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\dto\login.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\devices.controller.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\devices.controller.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\devices.module.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\devices.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\devices.service.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\dto\create-device.dto.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 14, 43
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\entities\device.entity.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 16, 50
